快照日期,排名,標題,類別,立場,來源,發布時間
2026-09-09,1,賓士男折返輾斃護理師！網傳「撞死賠較少」 律師駁斥：別再信錯誤說法,社會,非政治,Yahoo新聞,"Wed, 09 Sep 2026 01:02:21 GMT"
2026-09-09,1,東北風+熱帶擾動醞釀水氣多 吳德榮：周五到下周二大台北、東半部轉雨,生活氣象,非政治,UDN 聯合報,"Tue, 08 Sep 2026 23:19:30 GMT"
2026-09-09,2,今年首波東北季風報到！日夜溫差可達13度、周五雨最多,生活氣象,非政治,UDN 聯合報,"Tue, 08 Sep 2026 08:49:21 GMT"
2026-09-09,2,台中護理師凌晨過馬路遭撞不治肇逃男迴轉再撞涉殺人法辦| 社會,社會,非政治,中央社 CNA,"Tue, 08 Sep 2026 02:17:00 GMT"
2026-09-09,3,涉詐助理費才被起訴 民進黨立委林岱樺又爆侵吞1379萬政治獻金,政治,批執政,UDN 聯合報,"Wed, 09 Sep 2026 02:59:32 GMT"
2026-09-09,3,柯文哲二審首開／柯拉長陣線還要直播 法官嗆：你們要拖多久,政治,批在野,Yahoo新聞,"Tue, 08 Sep 2026 13:37:00 GMT"
2026-09-09,4,美軍發動新一輪攻擊 摧毀5艘伊朗油輪 布蘭特原油逼近100美元,國際,非政治,鉅亨網,"Tue, 08 Sep 2026 22:46:00 GMT"
2026-09-09,4,伊朗飛彈連攻美國軍艦！美軍反擊摧毀5艘油輪 警覺中俄可能暗助,國際,非政治,UDN 聯合報,"Tue, 08 Sep 2026 23:46:58 GMT"
2026-09-09,5,電子手環丟大安森林公園樹叢 張俊傑棄保逃亡逾10小時才曝光,政治,批在野,自由時報,"Tue, 08 Sep 2026 08:30:07 GMT"
2026-09-09,5,蔣萬安大寶交換生惹議！北市法務、政風都認「無涉利益迴避」,政治,批在野,NOWnews今日新聞,"Tue, 08 Sep 2026 00:25:58 GMT"
2026-09-09,6,國旅補助生日住宿金抽獎中獎率0.44% 9日上午11時起查詢這裡看| 生活,生活氣象,非政治,中央社 CNA,"Wed, 09 Sep 2026 01:58:00 GMT"
2026-09-09,6,女大生遭下藥勾李蒨蓉回憶 自曝16歲被設局「迷姦」獲救過程,社會,非政治,鏡週刊,"Mon, 07 Sep 2026 22:50:00 GMT"
2026-09-09,7,監院查蔣得立「沒發公文直接打電話」 教育局長直言：與慣例不符,政治,批在野,Yahoo新聞,"Wed, 09 Sep 2026 04:21:17 GMT"
2026-09-09,7,成淵國中87人吃午餐狂拉！蔣萬安深夜發聲滅火 網抓包1亮點全歪樓,政治,批在野,Yahoo新聞,"Tue, 08 Sep 2026 22:16:00 GMT"
2026-09-09,8,谷立言：台海若爆發衝突全球經濟衝擊超越二戰| 政治,政治,非政治,中央社 CNA,"Wed, 09 Sep 2026 02:54:00 GMT"
2026-09-09,8,魏平政正妹女兒幫拍宣傳片 開場「1句話」被網友砲轟,政治,批在野,自由時報,"Wed, 09 Sep 2026 00:25:36 GMT"
2026-09-09,9,新竹藍白破局延燒！吳子嘉告白營9人 黃士修點名徐欣瑩「政治圈滅絕大君」,政治,批在野,UDN 聯合報,"Wed, 09 Sep 2026 03:22:50 GMT"
2026-09-09,9,今年第一起！秀林鄉長卸任選議員…丈夫接棒選鄉長 雙雙涉賄遭聲押,政治,非政治,UDN 聯合報,"Wed, 09 Sep 2026 00:45:35 GMT"
2026-09-09,10,中共真的動手了！驚傳派4船艦「入侵金門海域」 現場衝突畫面流出,政治,非政治,民視新聞網,"Wed, 09 Sep 2026 03:19:13 GMT"
2026-09-09,10,獨／藍白共挺高虹安、何志勇仍無黨參選 國民黨新竹市黨部決議撤銷黨籍,政治,批在野,UDN 聯合報,"Tue, 08 Sep 2026 14:15:09 GMT"
2026-09-10,1,早出晚歸要加衣了！全台一周溫度表速看 最低溫探22度,生活氣象,非政治,UDN 聯合報,"Wed, 09 Sep 2026 13:21:53 GMT"
2026-09-10,1,早出晚歸要加衣了！全台一周溫度表速看 最低溫探22度,生活氣象,非政治,UDN 聯合報,"Wed, 09 Sep 2026 13:21:53 GMT"
2026-09-10,1,台積電營收太狂股價卻不動？網喊「委屈到不能再委屈」5大熱議一次看,經濟財經,非政治,Yahoo新聞,"Thu, 10 Sep 2026 06:20:06 GMT"
2026-09-10,1,早出晚歸要加衣了！全台一周溫度表速看 最低溫探22度,生活氣象,非政治,UDN 聯合報,"Wed, 09 Sep 2026 13:21:53 GMT"
2026-09-10,2,輾斃護理師收押看守所！賓士男林祐嘉「倒頭大睡到天亮、早餐吃光」,社會,非政治,三立新聞,"Wed, 09 Sep 2026 04:38:00 GMT"
2026-09-10,2,輾斃護理師收押看守所！賓士男林祐嘉「倒頭大睡到天亮、早餐吃光」,社會,非政治,三立新聞,"Wed, 09 Sep 2026 04:38:00 GMT"
2026-09-10,2,高金素梅助理疑棄保潛逃！要沒收的1千萬是張俊傑「本人的」 外甥女：不知道人在哪裡,政治,批在野,UDN 聯合報,"Thu, 10 Sep 2026 03:07:07 GMT"
2026-09-10,2,輾斃護理師收押看守所！賓士男林祐嘉「倒頭大睡到天亮、早餐吃光」,社會,非政治,三立新聞,"Wed, 09 Sep 2026 04:38:00 GMT"
2026-09-10,3,美國擊沉5影子油輪、伊朗報復襲10船 雙方開戰以來最大規模航運報復性襲擊,國際,非政治,Yahoo新聞,"Wed, 09 Sep 2026 12:30:44 GMT"
2026-09-10,3,美國擊沉5影子油輪、伊朗報復襲10船 雙方開戰以來最大規模航運報復性襲擊,國際,非政治,Yahoo新聞,"Wed, 09 Sep 2026 12:30:44 GMT"
2026-09-10,3,伊朗飛彈報復美軍基地！CBS：A-10遭擊中少一側機翼 8架F-15輕微受損,國際,非政治,UDN 聯合報,"Thu, 10 Sep 2026 01:57:25 GMT"
2026-09-10,3,美國擊沉5影子油輪、伊朗報復襲10船 雙方開戰以來最大規模航運報復性襲擊,國際,非政治,Yahoo新聞,"Wed, 09 Sep 2026 12:30:44 GMT"
2026-09-10,4,爆徐欣瑩民調數字「崩盤」 黃國昌嘆：國民黨利用完我們就一腳踹開,政治,批在野,自由時報,"Wed, 09 Sep 2026 05:49:25 GMT"
2026-09-10,4,爆徐欣瑩民調數字「崩盤」 黃國昌嘆：國民黨利用完我們就一腳踹開,政治,批在野,自由時報,"Wed, 09 Sep 2026 05:49:25 GMT"
2026-09-10,4,川普說法大反轉！原喊油價很快暴跌 如今改口要等到「這時候」,經濟財經,非政治,自由時報,"Thu, 10 Sep 2026 00:33:38 GMT"
2026-09-10,4,竹縣藍白合不玩了！民眾黨9人挨告 黃國昌氣炸：把我當笨蛋,政治,批在野,Yahoo新聞,"Wed, 09 Sep 2026 08:38:44 GMT"
2026-09-10,5,李洋真加碼了！官網悄更新「揮汗有禮追加100萬份」 運動部：發完為止,體育,非政治,三立新聞,"Tue, 08 Sep 2026 21:50:00 GMT"
2026-09-10,5,李洋真加碼了！官網悄更新「揮汗有禮追加100萬份」 運動部：發完為止,體育,非政治,三立新聞,"Tue, 08 Sep 2026 21:50:00 GMT"
2026-09-10,5,大巨蛋突圍捕米奇賽事喊卡！網轟蔣萬安：老鼠之亂還是沒解決,政治,批在野,三立新聞,"Wed, 09 Sep 2026 22:01:00 GMT"
2026-09-10,5,iPhone 18 Pro大漲價！最高調漲2.1萬元 4款舊機也變貴了,AI科技,非政治,自由電子報3C科技,"Wed, 09 Sep 2026 19:07:00 GMT"
2026-09-10,6,蘋果發表會一次看！摺疊iPhone Duo壓軸登場 標準版iPhone 18卻缺席？,AI科技,非政治,鉅亨網,"Wed, 09 Sep 2026 19:30:04 GMT"
2026-09-10,6,蘋果發表會一次看！摺疊iPhone Duo壓軸登場 標準版iPhone 18卻缺席？,AI科技,非政治,鉅亨網,"Wed, 09 Sep 2026 19:30:04 GMT"
2026-09-10,6,蔣得立交換資格遭美取消？ 殷瑋指他仍在美國求學反問翁達瑞一事- 政治,政治,批執政,中時新聞網,"Wed, 09 Sep 2026 05:44:24 GMT"
2026-09-10,6,北市營養午餐爭議連爆！竟要學生「排隊秤廚餘」 林延鳳揭荒唐公文內幕,政治,批在野,三立新聞,"Wed, 09 Sep 2026 10:49:00 GMT"
2026-09-10,7,布克獎執行長親送台灣驚喜禮！ 楊双子與金翎疊影藏深意,娛樂影視,非政治,自由藝文網,"Wed, 09 Sep 2026 22:34:00 GMT"
