排名,新聞標題,連結,發布時間
"1","謝新隆、謝典霖遭羈押 Cheap酸：機關算盡太聰明、連褲子都賠進去 - Yahoo新聞","https://news.google.com/rss/articles/CBMi_wJBVV95cUxOWDR3SG56akd2dWZpMGVxNWQ4VTFCb2lWby1KVXFwMEpFQ0ZhTUQ2enBFM0tWMXRSVzNXQUlCUXYyLW1LbmtPczA4c1lHM196TE5aYm9jTUEyLXBNWXo3cmlyTHViN3dKTUZuUXNxdlhMNW9DNDdxV1dhaDZfRzZDX0x5TVIwOHo1ZVRmREhSc0MyRjVoeHNHZVREdk93Z2VTbnhpTHdMVWE5S0xERVk0dWJhZndMWnlyYThGZm1sRTlYUmtSbTdlZ0VaU2hRUWxIcGhFWXNjS2NyM0pIMXIyQmVBV05LTHRMUUdXNVhzd1BQQ3UxMHRqazI4TTdFdC04VDgwdHluYTFJYnJfRk5ocjZPQjdPWTY0d1R0QWREczFXVFBfZFVtdFhRMHhqX0drNFFxd3NIY1dsV0xjS2V4SWFzTjZOM0lwcFczUmctXzdCYVdZWHZOcEJURmtKbWNHX0Nkelo4Y2Q1aS1lRVhzNTkxZFNrUjIxWWYyMmNrZw?oc=5","Fri, 18 Sep 2026 14:50:40 GMT"
"2","【更新】協助張俊傑脫逃第10人現形 吳東翰軍營拘提5萬交保 - Yahoo新聞","https://news.google.com/rss/articles/CBMixwJBVV95cUxNWFQ1bDRzOGtySWIwbE1IYnZDUUpQWVBqNi1oZkFERmhqSnd4Vlk1TkVSVWVxekxpOGdFb3VNbkpHZFQ4N1lBSUxGMmZ4bXNWaXd0QXY0Z05LYjViWUZ3UkJNYXFkVFcxVXVmOHhDRnUwTjhLZnRCYlNTQllxR3l5WmhHMEdQSFFQVGVsVDB3SUxOQURCMVIwUFJ1OENjbjlXMnllR1l3c3pxSkxaZEt0ekNTcTBOcnBqUkRhaXVuZzZpX3NCQnVOLThBQTlLRFl5NVJRVUZ0OV8wSFlnN2ZHb3FhRHBlcm9PcWJDWWszSW0xZTFWQXY1amxPc0dJazJsOXY4WUNxaTZxdllaNTF4NzN1SXo0NEVrM1dENFNTYmE2cWV0RzJ1amlBblA2RXZGRjg3aEFxYUZmMFlmZ2owbngxZTRCdWM?oc=5","Fri, 18 Sep 2026 15:39:13 GMT"
"3","川普宣布達成格陵蘭協議！美「永久」掌控安全 丹麥總理回應了 - UDN","https://news.google.com/rss/articles/CBMiUEFVX3lxTE1rTnl1VzJrSGVEcVpnR0ZUXzQ5NnhHRTgyazN1VnY2cnY2TS1DT1BXMWVwdHRKanlQRDdfaldUTU9IeUlzUk1CUUpnVmlwc1Bf0gFWQVVfeXFMUHhxZHJDakREMWxiMFQxdEcyal9ERUVWbzIzaVplcTlNTFpLZXExWUpIaDB1R3Y3WmRuOGRzNmVJaTI3TWo0a0Q4bFQ3dWUwa055TFJDZmc?oc=5","Fri, 18 Sep 2026 23:23:58 GMT"
"4","獨／高雄飛澳門班機遭鳥襲延誤 129名旅客從下午等到天黑還沒飛 - UDN","https://news.google.com/rss/articles/CBMiUEFVX3lxTE5FVTk0N1FTRGgxVDlxX1VoMjVhMVc2c1JwU1o5VWRYM2dMbVVxY3Z4NTM1NURETGdtYVM0Z1ZLM2p5MmZBek5rTlA2UEdrSWhL0gFWQVVfeXFMUFR2YVQ3dEdWM3A3VGNpM3cxdTkxWXZ2N01ZZExKVlczanBSdjdseVlKbFdXVFRrSHNGSXBGNVZxZnowVXEyMUR6QjNTRmJJd0NjcUV1NGc?oc=5","Fri, 18 Sep 2026 12:57:35 GMT"
"5","沈伯洋景美夜市掃街再掀「洋流」 接戰政論節目《面對面》對決蔣萬安：今晚就可以 - Yahoo新聞","https://news.google.com/rss/articles/CBMinANBVV95cUxQenBCbnU5R2l6bjdDNGtyVXhHU0JrSEdTQVRfOHlhZXc5NnhEX0V1UmZMUlVmYTZkWEdMUXRpWWN1VzBfbkRuRy1UY2ZzQ29qOFlWcExkWE40UVN1OEVEd3NCTm5fUWpJZlhRbmlGOTFOenhFNzRqMXB0VjdkVE04SXFuRFZtWVctS0pVcFI4TUUyRkpSUkR3YkxDOHBNVFJ3X3hRVV9lUjVwVzFiSXpiaHZSZW9oS1FMcFlOM0lxTWwxYTZCcjJrZmwwd0daaVRxQ28zQjQ2c09XMllKQUMyeXZMUjVMeHlFbUJSbXowNlVkd0lVWjAtVTZKcDhaY2FZclVmbGNKOFMzX25RakhyYTFJZnpIZnFZSm1fTGJxRHJkTGo4TzRZR2VkRTFiNmVaM1REWXBndzdmN3BfOU4xNXZNUEdJcDJxOHM5bk5HSkpITklVa29hSlR4WmFzVFpKS2xwNHFQTEJJWV84Vkxac1VDcTRRX1FNM0VzWGVyRGlwUFZIckx6aU4yblBuaTU3c1BLRW1QRmNlc1dI?oc=5","Fri, 18 Sep 2026 13:53:00 GMT"
"6","秋老虎報到全台熱翻！下週杜鵑「直撲日本3地區」　中秋連假天氣曝 - setn.com","https://news.google.com/rss/articles/CBMiSEFVX3lxTE1vYy1YWmVBVnRpV0lleUxXU01FX3ktR3NrOVUyVFVnZ3dxZW1BR0oyaC1YVnZUVlFwb0tra0xhQ3VHRVdlZ2RCRdIBTEFVX3lxTFBvdWhYMEZMVTJNTHpjWUpWZzhEVDlFLU5udWl0eDhoRnRsVHE2eTRLUGNTRUhVTXJXOUYtdENzSGhxOFJZVGl1MDJ6M1Q?oc=5","Fri, 18 Sep 2026 00:46:00 GMT"
"7","蔣萬安2024哈佛演講英文能力挨批 旅美教授看完力挺：選舉競爭也要講武德 | 蕭宥宸 | 新聞 - 風傳媒","https://news.google.com/rss/articles/CBMiTkFVX3lxTE9vLXRlOGQ5UGJWNFAtRzhzd1JPZE1laUdzTlkwelZXcmVoX3g2Nzl2dXlxZHE0X0loeE91TWY4Y0dwdUtKcjNDNWlWTmVqQQ?oc=5","Fri, 18 Sep 2026 09:56:19 GMT"
"8","被控「台灣間諜」遭中國關押 蔡金樹臉書發文：我回來了 - 自由時報","https://news.google.com/rss/articles/CBMiakFVX3lxTE4weFlrNDBGUHlNZm1RcllxcG9kaXNndU4xMDAzQjQwdkgzX1FwOXZPT1JHZXFYV2V6cVp0U0QtbEVPR1BRTWtSaDFxWm1jYlAzV3JPLUFMbVRWT29XLWd3YjQzdUdXZ25tQmfSAW9BVV95cUxPeGoyWUhTWFJOeV9TNmFyOW5zUjlUN29IbjVDcnpELUxZbzBhRlN4TFcxSmRmWGxsWWdTT1VZTW95RDhaOGJQVjgxc25WblV3dDdVekV1SFg2b0taczVsZkFwb0RRbTI0WmdrZlRyQVk?oc=5","Fri, 18 Sep 2026 23:07:37 GMT"
"9","預言「蔣萬安連任無懸念」！沈伯洋高EQ回應 小笠原欣幸狂讚：令人驚艷 - Yahoo新聞","https://news.google.com/rss/articles/CBMinwNBVV95cUxPSmlpcTdZejZGVzlscmltRTZFR3dxRUh5T3BscTFNTjEtamI2Tm1WNGxnb2U3UTBDMTRwMzRNN1lmOFR2QXBpNUJsZl9VV3FrMkJ0MTFGZXNWbUZMNERZLVg1dFpMV2VNRzFsQUlsYVE1RWRwNjI0Uk5EelhLTmt3YzBoQWRrVjBxYkNfLXVmdUs0MWdacUNpazBLM1NWY0hYNlBGaDlpQnVUVTFoaE5QenFEdHE3SW1mRkhaZS0tYzA2VzJSU2hrN2tIOFdtbWZtMHdOSzRzeHJTdXJZWTI2WUczMWhDSUNYSTFFVDNiaEw4SEpxcUVXaTlWdzhOeVVpQXg5Mm9VTlBYdlkzeVBpZDhvSkhVZER6QTJQSEZ4RVM5Z1ZtZDBsbEs3aU45cTA5UkNFUkx3OXJhLVh0M1EzUkx0a1R4RVozcmRTdEJZbzJnaUREcjR1S1hYYlRmS0FaaWZ6c3ppME10ejFZcXJzTEtvUXRGRVJBdUFBWjhkRnhtMklmamx4X3k1Uzg2ZnJRenBRSEFyNHh4ZWg5VHFz?oc=5","Fri, 18 Sep 2026 21:22:00 GMT"
"10","名古屋亞運／又遭打壓？亞奧會拒絕李洋入場「對方拿不出證明」　開村儀式台灣被迫退場 - 鏡週刊Mirror Media","https://news.google.com/rss/articles/CBMiW0FVX3lxTFBqRGJUUGl3Mkl6Z3h2RGFYNm1FUG1qbUFQNmFBTjRPWmplbGJkaXFRb3ZtWklRODFQX1FUaS1BbjRQanNhenZBMXZLLTA2Ukl0RnRVZmp4TEVfbkXSAWBBVV95cUxPdEN4TlAzMHc3amJrNGxxZkJTaG1pQW1obFQ5d3FscEtPQzcxSDhaQjBkWmNhWFRRV1NmajRMekNaaUFIZzBlZ19FeGl2NTB1Ql9NdFJmTDVGWmpXajlRamM?oc=5","Fri, 18 Sep 2026 05:56:00 GMT"
