排名,新聞標題,連結,發布時間
"1","謝典霖父子涉賄選遭羈押看守所編號曝光 宵夜嗑泡麵早餐吃光光 - Yahoo新聞","https://news.google.com/rss/articles/CBMipANBVV95cUxNX2hfUlB2NXQ2LWNvenNHa3BTeVZvZzdPU0daUjFUWlNraUpvaTMzQWJzOFp4SWo3QjdMSEtGQndNN0JGOEtyTjRIaXRLNXVZbkJnYS1CWGlpQ3dncFJFMGt4dTlDNjEzMl9udExMYTdOQ0hObkg4SjlYQmFKMkZFZXlmS1lHZ0V6OWxvUlJJZ0hhYThBMXVtOThSblFWU2s5Wmt3SnE5TzBZaTRta3dHYlc0a1lKdmZnSUp2aE50WDlsV21aTXRSUTBOVVVzTW9SZk9xeWxoY2pmcHV0cHp6X0NFNjNIaGxDVWNHeXNPUF95bnhsM0lnWGp3b1l1RkM1dTNFX1I4b0NHdVhQSndFbk9IcElWWFJ5aW9EZUlKZUZ6eTFseFV1dnNDRHZoVXJ1MW94NElHU0tBMldrb1ZnNjloOHdkMHhWamtRMlhldndSbjRsV0x0VEI1dVhvdjhSZ3F1cUdSblUyR1NXekl3NWFfd2hYQlIxaFlvSlc5c2VZX1E3Wmk3TnVqSGE4bVRWVHN4cFJxYUpKRzJUQ1Z6c3ZNd18?oc=5","Fri, 18 Sep 2026 04:21:29 GMT"
"2","川普宣布達格陵蘭協議 將大規模駐軍並獲「永久安全控制權」 - news.cnyes.com","https://news.google.com/rss/articles/CBMiT0FVX3lxTE5HRG1EZEFsY21XaHprVmN3cl9QbjVCWmIwcWVMWnlsWGczSHhIdnZzM1VMdWNyRjBIZU13YzFpbmxoNmx1LWFYZUN5MXQxM00?oc=5","Fri, 18 Sep 2026 22:11:03 GMT"
"3","獨／高雄飛澳門班機遭鳥襲延誤 129名旅客從下午等到天黑還沒飛 - UDN","https://news.google.com/rss/articles/CBMiUEFVX3lxTE5FVTk0N1FTRGgxVDlxX1VoMjVhMVc2c1JwU1o5VWRYM2dMbVVxY3Z4NTM1NURETGdtYVM0Z1ZLM2p5MmZBek5rTlA2UEdrSWhL0gFWQVVfeXFMUFR2YVQ3dEdWM3A3VGNpM3cxdTkxWXZ2N01ZZExKVlczanBSdjdseVlKbFdXVFRrSHNGSXBGNVZxZnowVXEyMUR6QjNTRmJJd0NjcUV1NGc?oc=5","Fri, 18 Sep 2026 12:57:35 GMT"
"4","突破異溫層！？沈伯洋掃街　民眾舉牌「我是中國人我選沈伯洋」合照 - 三立新聞","https://news.google.com/rss/articles/CBMiSEFVX3lxTE12Mnl5aTZ1OG5ZTjQ3NThha1VRVUpDeUdxVGZRZ0NxUERveEVxUG1TblhVOXVtbXFOM3FBUlBpNnVGQ1VPMnFGctIBTEFVX3lxTFBzYTVnbmpiTjBhNE5kSExmeFZLanlsRXFSY1RCT25mNmtFck1OQ19jdVlPZGRsWGN0cWFRMjlRM1RyeVBQaUZZc1drS2c?oc=5","Fri, 18 Sep 2026 04:10:00 GMT"
"5","秋老虎報到全台熱翻！下週杜鵑「直撲日本3地區」　中秋連假天氣曝 - 三立新聞","https://news.google.com/rss/articles/CBMiSEFVX3lxTE1vYy1YWmVBVnRpV0lleUxXU01FX3ktR3NrOVUyVFVnZ3dxZW1BR0oyaC1YVnZUVlFwb0tra0xhQ3VHRVdlZ2RCRdIBTEFVX3lxTFBvdWhYMEZMVTJNTHpjWUpWZzhEVDlFLU5udWl0eDhoRnRsVHE2eTRLUGNTRUhVTXJXOUYtdENzSGhxOFJZVGl1MDJ6M1Q?oc=5","Fri, 18 Sep 2026 00:46:00 GMT"
"6","伊朗政權要被消滅？川普曝將做「重大決定」 下周6大海灣國家會晤牽動油價- 國際 - 工商時報","https://news.google.com/rss/articles/CBMiX0FVX3lxTE9vY0psT1BLY0RxaHhfckZMNVNad0VGQ3pUUTFqTEQ2VWF3enFxOFE2bTJLS1B1b21yb0dOak1rV3lNRENwQ1N3dDJZTUdOY1Jvem5UTEFybHljTDJQUl9r?oc=5","Fri, 18 Sep 2026 00:51:00 GMT"
"7","被控「台灣間諜」遭中國關押 蔡金樹臉書發文：我回來了 - 自由時報","https://news.google.com/rss/articles/CBMiakFVX3lxTE4weFlrNDBGUHlNZm1RcllxcG9kaXNndU4xMDAzQjQwdkgzX1FwOXZPT1JHZXFYV2V6cVp0U0QtbEVPR1BRTWtSaDFxWm1jYlAzV3JPLUFMbVRWT29XLWd3YjQzdUdXZ25tQmfSAW9BVV95cUxPeGoyWUhTWFJOeV9TNmFyOW5zUjlUN29IbjVDcnpELUxZbzBhRlN4TFcxSmRmWGxsWWdTT1VZTW95RDhaOGJQVjgxc25WblV3dDdVekV1SFg2b0taczVsZkFwb0RRbTI0WmdrZlRyQVk?oc=5","Fri, 18 Sep 2026 23:07:37 GMT"
"8","酸蔣萬安英文青鳥糗寫錯字方恩格：酸民加油- 政治 - 中時新聞網","https://news.google.com/rss/articles/CBMibkFVX3lxTFBTMzhIWWFzWUV2NEQwNkFXc1JSczRZX0RjdEdEZGh0UmFWY3c2ZXVRQWJSSzZmSlR2ZEd0SmN5S1ZoWU1ETTl5QVFiNjhkbklXN1l6RU1salFqbFBMTlJSRDdDWkRIemVwd2d5N2d3?oc=5","Fri, 18 Sep 2026 15:42:24 GMT"
"9","預言「蔣萬安連任無懸念」！沈伯洋高EQ回應 小笠原欣幸狂讚：令人驚艷 - Yahoo新聞","https://news.google.com/rss/articles/CBMinwNBVV95cUxPSmlpcTdZejZGVzlscmltRTZFR3dxRUh5T3BscTFNTjEtamI2Tm1WNGxnb2U3UTBDMTRwMzRNN1lmOFR2QXBpNUJsZl9VV3FrMkJ0MTFGZXNWbUZMNERZLVg1dFpMV2VNRzFsQUlsYVE1RWRwNjI0Uk5EelhLTmt3YzBoQWRrVjBxYkNfLXVmdUs0MWdacUNpazBLM1NWY0hYNlBGaDlpQnVUVTFoaE5QenFEdHE3SW1mRkhaZS0tYzA2VzJSU2hrN2tIOFdtbWZtMHdOSzRzeHJTdXJZWTI2WUczMWhDSUNYSTFFVDNiaEw4SEpxcUVXaTlWdzhOeVVpQXg5Mm9VTlBYdlkzeVBpZDhvSkhVZER6QTJQSEZ4RVM5Z1ZtZDBsbEs3aU45cTA5UkNFUkx3OXJhLVh0M1EzUkx0a1R4RVozcmRTdEJZbzJnaUREcjR1S1hYYlRmS0FaaWZ6c3ppME10ejFZcXJzTEtvUXRGRVJBdUFBWjhkRnhtMklmamx4X3k1Uzg2ZnJRenBRSEFyNHh4ZWg5VHFz?oc=5","Fri, 18 Sep 2026 21:22:00 GMT"
"10","饒河夜市貼""洋流""竟遭公文警告 許淑華轟:北市府搞獨裁 - Yahoo新聞","https://news.google.com/rss/articles/CBMi7AJBVV95cUxNckkyeFZaVFpkXzlWRG1GVHNhN01ac0RhNmZ3UldiUFRoVElfcVUwV2ZPWW14UENyYlZPTklQVk5fR0Z1Uk5vT20xVFRPbmhraXM5aWZJZFpxb2ZxbWFuQlJGd1VTVndVS1Nwc29qVjdTYnBZSjZQazE1UFBDbWxQbnNqWVRNMGFhRHJielBiU3AzU05vbDl3MDNQWXRmRzZUN2J6amRzdDhXVUZpbjVBcnB4ZkxMMHRiNUwzTTFjUzNXMmo4c2ZJXzZYRG03SEhoODlrVWVxM3RlMlZXWEptWjZILUhCOWhXM1lfNHhFa0FlcTUtMWk3a19Ha1ktaG5GRHc3aXhWbzBGeXl5ejJrTXpQbmdhTXAxSkItUTFvSzhjME5tVjBLSFFSeHc4VTFhUHV5VncyamZJRFdpWjg3elEwOW1JMG1saG40ZngxRnF0LTJKMENrZTFWR1dIbHluY1NRQkxkT0ZfckZV?oc=5","Fri, 18 Sep 2026 15:49:02 GMT"
